Species	Status	MinT	MaxT	Trait
Mustela nivalis	extant	0.3	1.8	46,9
Mustela vison	extant	0.3	1.8	945
Spilogale putorius	extant	1.8	4.9	341
Taxidea taxus	extant	0.3	4.9	7107,6
Odobenus rosmarus	extant	0.126	0.781	825000
Arctocephalus townsendi	extant	0	0.0117	105000
Callorhinus ursinus	extant	0.0117	2.588	45133
Eumetopias jubatus	extant	0	0.0117	310000
Zalophus californianus	extant	0	0.0117	80000
Cystophora cristata	extant	0	0.0117	201667
Erignathus barbatus	extant	0.0117	0.126	280000
Halichoerus grypus	extant	0.0117	0.126	157667
Mirounga angustirostris	extant	0.012	0.3	750000
Monachus tropicalis	historical	0.012	0.3	200000
Phoca groenlandica	extant	0.0117	0.126	120000
Phoca hispida	extant	0.0117	0.126	90900
Phoca vitulina	extant	0.0117	0.126	100000
Bassaricyon gabbii	extant	0	0.0117	1250
Bassariscus astutus	extant	0.012	1.8	1129,5
Bassariscus sonoitensis	extinct	0.0117	0.126	1000
Nasua nasua	extant	0	0.0117	3793,8
Potos flavus	extant	0	0.0117	3000
Procyon lotor	extant	0.3	1.8	5525
Arctodus pristinus	extinct	1.8	4.9	300000
Arctodus simus	extinct	1.8	4.9	720000
Tremarctos floridanus	extinct	1.8	4.9	150000
Ursus americanus	extant	1.8	4.9	99949,4
Ursus arctos	extant	0	2.588	139440,8
Ursus maritimus	extant	0	0.0117	352500,7
Balantiopteryx io	extant	0.0117	0.126	4,3
Eumops glaucinus	extant	0	0.0117	35,4
Eumops perotis	extant	1.8	4.9	51,1
Tadarida brasiliensis	extant	0.012	0.3	12,5
Noctilio albiventris	extant	0	0.0117	30,8
Noctilio leporinus	extant	0	0.0117	60,3
Artibeus jamaicensis	extant	0	0.0117	42,2
Chrotopterus auritus	extant	0	0.126	77,9
Desmodus rotundus	extant	0	0.0117	33,2
Leptonycteris nivalis	extant	0.0117	0.126	25,6
Trachops cirrhosus	extant	0	0.0117	37,7
Antrozous pallidus	extant	4.9	10.3	20,8
Eptesicus fuscus	extant	1.8	4.9	16,5
Lasionycteris noctivagans	extant	1.8	4.9	10,5
Lasiurus borealis	extant	1.8	4.9	10,7
Lasiurus cinereus	extant	0.3	1.8	25,3
Lasiurus intermedius	extant	0.012	0.3	23
Lasiurus seminolus	extant	2.588	3.6	9,9
Myotis austroriparius	extant	0.3	1.8	6,8
Myotis grisescens	extant	0.0117	2.588	10,5
Myotis keenii	extant	0.0117	2.588	6,3
Myotis lucifugus	extant	0.0117	2.588	7,6
Myotis thysanodes	extant	0.3	1.8	8,1
Myotis velifer	extant	0.3	1.8	10,1
Myotis yumanensis	extant	10.3	13.6	5,4
Nycticeius humeralis	extant	0.0117	0.126	9
Pipistrellus hesperus	extant	0	0.0117	3,7
