aaptoryctes
dormaalocyon
dorsetodon
drepanosorex
drescheratherium
dryolestes
dryolestidae
dryolestoidea
echinops
ectocentrocristus
ectocion
ectoconus
ectoganus
eleutherodon
ellesmene
endotherium
entodipodiscus
eodesmatodon
eomaia
eopentapodiscus
eoryctes
eotetrapodiscus
eoungulatum
eozhelestes
episoriculus
epoicotheriidae
epoicotherium
erinaceomorpha
erinaceus
ernanodon
ernosorex
escatepos
escavadodon
euarchontoglires
eurodon
euronyctia
eutheria
euthlastus
eutrochodon
exoedaenodus
falepetrus
ferae
ferugliotherium
fieratherium
florentinoameghinia
florinia
fordonia
foxraptor
fruitafossor
gallolestes
ganolophus
ganungulatum
garatherium
geogale
gobiohyus
gobiotheriodon
gobisorex
golerdelphys
gondwanatheria
gondwanatherium
gracilocyon
greniodon
griphodon
groeberia
groebertherium
guimarotodus
gypsonictops
hakusanodon
haploconus
haramiyavia
harpyodus
heishanlestes
helioseus
hemisorex
hemithlaeus
henkelotherium
henosferus
herodotius
herpetarius
herpetotheriidae
herpetotherium
hesperosorex
heterolophodon
heterosorex
heterosoricidae
holoclemensia
horolodectes
huerfanodon
hyotheridium
hypomylos
ilerdoryctes
indodelphis
infernolestes
ingentisorex
intyrictis
ishatherium
jaskhadelphys
jawharia
juchilestes
juramaia
karakia
kasserinotherium
kennalestes
kermackia
kielantherium
kiruwamaq
kiyatherium
koniaryctes
kordosia
kotatherium
krebsotherium
kuehneotheriidae
kuehneotherium
kulbeckia
labes
lainodon
lainoryctes
lakotalestes
lambertocyon
landenodon
laolestes
lartetium
laurasiatheria
lavanify
leptacodon
leptalestes
leptictida
leptictidae
leptictidium
leptictis
leptonysson
limaconyssus
limnoecinae
limnoecus
lophiodolodus
lophocion
loxolophus
lunanosorex
lusorex
maastrichtidelphys
mafia
magnimus
maiorana
malutitetrapodiscus
mammalia
maotherium
marsupialia
marsupialiformes
mayulestes
megaconus
megaleptictis
melaniella
mentoclaenodon
meridiungulata
metacheiromyidae
metacheiromys
metacordylodon
metatheria
microderson
microgale
microlestes
mimatuta
mimoperadectes
mimotricentes
minchenella
mingotherium
minimus
minusculodelphis
miocrocidosorex
miosorex
mistralestes
mithrandir
montanalestes
mozomus
murtoilestes
mylanodon
myosorex
myrmecoboides
nakunodon
namachloris
nanodelphys
nanolestes
ndamathaia
necrolestes
neomyini
neomys
neomysorex
nesiotites
nortedelphys
notiosorex
nyctitheriidae
nyctitheriinae
nyctitherium
ocepeia
oedolius
olbitherium
oligoryctes
oligosorex
onychodectes
oodectes
orientictis
ortalestes
oxlestes
oxyacodon
oxyprimus
oxytomodon
paenelimnoecus
paenepetenyia
paenesorex
pakilestes
pakkokuhyus
palaeanodon
palaeanodonta
palaeictops
palaeocladosictis
palaeoryctes
palaeoryctidae
palaeoryctinae
palaeostylops
palaeoxonodon
paleomolops
paleotomus
pappotheriidae
pappotherium
paracryptotis
paradomnina
paraeopentapodiscus
parageogale
paranourosorex
paranyctoides
parapternodus
pararyctes
paratheria
paratriisodon
parazhelestes
patagonia
paurodon
paurodontidae
pediomyidae
pediomys
peradectes
peradectidae
peramus
peraspalax
peratherium
periptychidae
periptychus
petenyia
petenyiella
petrolemur
phakodon
phascolestes
phenacodonta
phenacodontidae
phenacolophus
picopsis
picunia
placentalia
placentidens
plagiocoelus
plagioctenodon
plagioctenoides
plagiomenidae
planisorex
plesiodimylus
plesiorycteropus
plesiosorex
plesiosoricidae
pontifactor
portopinheirodon
potamotelses
praephoca
praolestes
princetonia
prionogale
procaroloameghinia
prochrysochloris
prodiacodon
progenitohyus
prokennalestes
prolatidens
propalaeanodon
propyrotherium
proremiculus
protalphadon
protictis
protictoides
prototheria
protungulatum
pseudanisonchus
pseudocordylodon
pseudorhyncocyonidae
pseudotrimylus
psittacotherium
pucadelphys
pyrotheria
pyrotheriidae
pyrotherium
qatranilestes
quadratodon
quercygale
quercysorex
raphictis
remiculus
rumiodon
sahnitherium
sanshuilophus
sasayamamylos
saturninia
sazlestes
schadipes
schowalteria
scollardius
scraeva
scutisorex
seia
setifer
shalbaatar
sheikhdzheilia
shenshou
siamoperadectes
siamosorex
sigynorum
simpsonictis
sinbadelphys
sineleutherus
sinodelphys
sinostylops
siwalikosorex
solenodon
sorex
soricella
soricidae
soricinae
soricini
soricolestes
soricomorpha
soriculus
sorlestes
sororyctes
spalacolestes
spalacotheridium
spalacotheriidae
spalacotherium
spalacotheroides
sperrgale
srinitium
stenostylops
stylinodon
stylinodontidae
stylinodontinae
sudamerica
sudamericidae
sulimskia
suncus
swaindelphys
sylvisorex
symmetrodontoides
symmetrolestes
taatsiinia
taeniodonta
talpavoides
talpavus
tapocyon
tathiodon
tavoonyia
tenrec
tetraclaenodon
tetrapassalus
thereuodon
theria
thlaeodon
thomasia
thryptacodon
thylacaelurus
thylacodon
tienshanilophus
tikitherium
tinuviel
trapalcotherium
tregosorex
tribactonodon
tribosphenida
tribotheria
tribotherium
tricentes
tricorynopus
tricuspes
trilobodon
tsaganius
tubulodon
turkodimylus
uchkudukodon
uintacyon
ukhaatherium
ulmensia
ungulata
valentinella
vassacyon
vastania
vincelestes
vintana
viverravidae
viverravus
viverriscus
wanostylops
wanotherium
widanelfarasia
wilsonosorex
wirunodon
wortmania
wyonycteris
xenacodon
xenocranium
xianshou
xinyuictis
yanoconodon
yaverlestes
yuelophus
zalambdalestes
zalambdalestidae
zalambdalestoidea
zatheria
zelceina
zhalmouzia
zhangheotheria
zhangheotherium
zhangolestes
zhelestes
zhelestidae
zygiocuspis
