achaenodon
prostrepsiceros
prosynthetoceras
protoceras
protoceratidae
protoceratinae
protodichobune
protolabis
protoreodon
protoryx
protovis
protragelaphus
protragocerus
protylopus
pseudalces
pseudamphimeryx
pseudaxis
pseudoblastomeryx
pseudoceras
pseudoceratinae
pseudodama
pseudoeotragus
pseudogelocus
pseudois
pseudolabis
pseudomeryx
pseudoparablastomeryx
pseudoprotoceras
pseudotragus
qatraniodon
qurliqnoria
rabaticeras
rakomeryx
rakomylus
ramoceros
rangifer
raoella
raoellidae
raphicerus
redunca
reduncini
rhagatherium
rhynchotragus
robiacina
robiatherium
ruminanta
ruminantia
rupicapra
rusa
ruticeros
saheloryx
saiga
samokeros
samotherium
samotragus
sanitheriidae
sanitherium
sardomeryx
schansitherium
schizochoerini
schizochoerus
schizoporcus
selenoportax
sespia
shaanxispira
shansitherium
siamochoerus
siamotherium
siamotragulus
sihongotherium
simatherium
simimeryx
simojovelhyus
simpsonodus
sinapodorcas
sinclairomeryx
sinocapra
sinomegaceros
sinopalaeoceros
sinoreas
sinoryx
sinotragus
sivacapra
sivaceros
sivachoerus
sivacobus
sivadenota
sivameryx
sivatheriinae
sivatherium
sivoreas
skinnerhyus
skoufotragus
soergelia
sogdianotherium
sperrgebietomeryx
sphenophalos
spirocerus
sporadotragus
stehlinoceros
stenomylinae
stenomylini
stenomylus
stephanocemas
stibarus
stockoceros
strepsiceros
strepsiportax
strogulognathus
stylochoerus
subdromomeryx
submeryceros
submerycochoerus
suidae
suinae
surameryx
sus
sylvicapra
sylvochoerus
syncerus
syndyoceras
synthetoceras
synthetoceratinae
tanymykter
tapinochoerus
tapirulus
tapochoerus
taucanamo
tauromeryx
taurotragus
tayassu
tayassuidae
tayassuinae
tchadotragus
tchaltacerus
telmatodon
teruelia
tethytragus
tetraceros
tetraconodon
tetrameryx
texoceros
texodon
thaleroceros
thandaungia
thinohyus
ticholeptus
titanotylopus
toromeryx
torticornis
tossunnoria
tragelaphini
tragelaphus
tragocerus
tragoportax
tragoreas
tragospira
tragulidae
tragulus
triceromeryx
trigenicus
trilobophorus
tsaganohyus
tsaidamotherium
turcocerus
turiacemas
turritragus
tuscomeryx
tylopoda
tyrrhenotragus
udabnocerus
ugandax
ulausuodon
umbrotherium
urmiatherium
ustatochoerus
vicugna
vishnucobus
vishnumeryx
vishnutherium
walangania
waldochoerus
wellsiana
woodburnehyus
wyomylus
xenochoerus
xenohyus
xiphodon
yumaceras
yunnanochoerus
yunnanotherium
zarafa
zephyreduncinus
zhailimeryx
