abelmoschomys
eocardia
eocricetodon
eodelphomys
eodolichotis
eoespina
eogliravus
eohaplomys
eoincamys
eolagurus
eomuscardinus
eomyodon
eomyops
eomys
eopicure
eopululo
eosachacui
eosallamys
eosischyromys
eosteiromys
eothenomys
eoviscaccia
eozapus
epeiromys
epimeriones
epiphiomys
erethizon
erlianomys
esesempomys
estellomys
estramomys
euboromys
eucastor
euchoreutes
eucricetodon
euhapsis
eumyarion
eumys
eumysodon
eumysops
euromys
euroxenomys
euryotomys
eutamias
eutypomys
exmus
fahlbuschia
fallomus
fanimus
faraframys
florentiamys
floresomys
forsythia
fossorcastor
franimys
freudenthalia
frontanyamys
galbreathia
galea
galileomys
galushamys
ganocricetodon
garridomys
gaudeamus
geitonomys
geofossor
geomys
georychus
gerbillus
gerboa
geringia
germanomys
glamys
glaucomys
glibemys
glibia
gliravus
glirudinus
gliruloides
glirulus
glirulus(glirulus)
glirulus(paraglirulus)
glis
gobicricetodon
gobiomys
gobiosminthus
golunda
goniodontomys
grammomys
graphiurops
graphiurus
gregorymys
griphomys
gromovia
guanajuatomys
guildayomys
guiomys
gumbatomys
gypsorhychus
gyriabrus
hadromys
hannanomys
hansdebruijnia
haozi
hapalomys
haplomys
harasibomys
harimyscus
harrymys
hattomys
heissigia
helanshania
heliosciurus
heliscomys
heosminthus
heramys
hesperogaulus
hesperomys
hesperopetes
heterocephalus
heterocricetodon
heteroeomys
heteromyoxus
heterosminthus
heteroxerus
hibbardomys
himalayactaga
hispanomys
hitonkala
hodomys
hodsahibia
hohomys
holochilus
hooijeromys
huananomys
huangomys
huaxiamys
huerzelerimys
hydrochoeropsis
hydrochoerus
hylopetes
hylopetodon
hyperacrius
hypnomys
hypogeomys
hypsocricetus
hypsosteiromys
hystricomys
hystricops
hystrix
iberomys
incamys
irhoudia
ischymomys
ischyromys
issiodoromys
ivanantonia
jacobsomys
jaculus
janimus
javazapus
jaywilsonomys
jimomys
jordanomys
kabirmys
kahawamys
kalymnomys
kanisamys
kansasimys
karakoromys
karnimata
karydomys
kenisamys
kenyamys
keramidomys
kerosinia
kharomys
kherem
khodzhentia
kirkomys
kislangia
knightomys
kochalia
komodomys
kowalskia
kubwaxerus
lagidium
lagostomus
lagurodon
lagurus
laredomys
lartetomys
lasiopodomys
laugaritiomys
lavocatomys
lazibemys
leakeymys
leidymys
leithia
lemmiscus
lemmus
lemniscomys
leopoldamys
leptodontomys
leptoromys
leptotataromys
leptotomus
leucokephalos
leukaristomys
ligerimys
lignimus
lignitella
lindsaya
liodontia
liomys
litodonomys
litodontomys
litoyoderimys
llitun
loncolicu
lophibaluchia
lophiomys
lophiparamys
lophocricetus
luanthus
luantus
mabokomys
macrognathomys
macrotarsomys
malacomys
malacothrix
maltamys
manitsha
marfilomys
margaritamys
marmota
maruchito
marymus
masillamys
mastacomys
mastomys
mattimys
maxomys
megacricetodon
megalomys
megapedetes
megapeomys
megasminthus
meldimys
meliakrouniomys
melissiodon
mellalomys
menetes
meniscomys
mergenomys
meriones
mesocricetus
mesogaulus
mesoprocta
mesosiphneus
metadjidaumo
metaliomys
metanoiamys
metaparamys
metaphiomys
metasayimys
meteamys
microcardiodon
microcavia
microdipodops
microdryomys
microdyromys
microeutypomys
micromys
microparamys
microscleromys
microspalax
microsteiromys
microtia
microtocricetus
microtodon
microtoscoptes
microtus
mictomys
migmacastor
migraveramus
mikrotia
millardia
mimomys
miodyromys
mioharimys
mioheteromys
miopetaurista
miophiomys
miosicista
miospermophilus
miotomodon
mirabella
mirrabella
mixocricetodon
mojavemys
monosaulax
mookomys
mubhammys
muhsinia
mus
muscardinus
mylagaulodon
mylagaulus
myocastor
myocricetodon
myocricetodontin
myodes
myoglis
myomimus
myophiomys
myoprocta
myopus
myospalax
myotomys
mysops
mystromys
mytonomys
nakalimys
namatomys
namibimys
nannocricetus
nannospalax
napaeozapus
nebraskomys
necromys
nectomys
neimengomys
nementchamys
neocavia
neochoerus
neocometes
neocricetodon
neoepiblema
neofiber
neophanomys
neophiomys
neoreomys
neosciuromys
neosteiromys
neotamias
neotoma
neotomys
nerterogeomys
nesokia
nievella
niglarodon
niviventer
nonanomalurus
nonomys
nothodipoides
notocricetodon
notogaulus
notoparamys
nototamias
occitanomys
ochrotomys
oenomys
ogmodontomys
oligodyromys
oligoryzomys
oligosciurus
oligospermophilus
oligotheriomys
omboomys
ondatra
onychomys
ophiomys
oregonomys
orelladjidaumo
oriensciurus
orientalomys
orogomys
oromys
oropyctis
orthogeomys
oryzomys
otaviglis
otomys
ottomania
oxymycterus
oxynocricetodon
paciculus
paenemarmota
pairomys
palaeocastor
palaeoctodon
palaeomys
palaeosciurus
pannonicola
pantrogna
papagomys
pappocricetodon
paracitellus
paracricetodon
paracricetops
paracricetulus
paracryptomys
paradakkamys
paradelomys
paradelphomys
paradjidaumo
paraethomys
paraglirulus
paraglis
paralactaga
parallomys
paralophocricetus
parameriones
paramicrotoscoptes
paramyocastor
paramys
paranamatomys
paranomalurus
parapaenemarmota
parapelomys
parapetaurista
paraphiomys
parapliosaccomys
parapodemus
pararhizomys
parasminthus
parasteiromys
paratamias
paratarsomys
paraulacodus
paraxerus
pareumys
paronychomys
pascualia
passaliscomys
patriarchamys
paulamys
pauromys
pedetes
pediolagus
pelomys
pelycomys
pentabuneomys
pereddamys
peridiomys
peridyromys
perimys
perognathoides
perognathus
peromyscus
perumys
petaurista
petauristodon
petinomys
petrokozlovia
petromus
petromyscus
phanomys
phelosaccomys
phenacomys
phiocricetomys
phiomyoides
phiomys
phoberomys
phodopus
phtoramys
phugatherium
phyllotis
pipestoneomys
pithanotomys
pitymimomys
pitymys
platacanthomys
platypittamys
plesieomys
plesiocricetodon
plesiodipus
plesiodyromys
plesiosciurus
plesiosminthus
plesispermophilus
plioctomys
pliogeomys
pliolemmus
pliomys
pliopetaurista
pliophenacomys
pliopygerethmus
pliosaccomys
plioscirtopoda
plioselevinia
pliosiphneus
pliospalax
pliotomodon
pliozapus
podomys
pomonomys
pondaungimys
potamarchus
potwarmus
praearmantomys
praomys
preacomys
predicrostonyx
prepomonomys
presbymys
primus
priusaulax
proansomys
proardynomys
procastoroides
prodipodomys
prodipoides
prodistylomys
prodolichotis
prodryomys
proedromys
progeomys
progonomys
proharrymys
proheliophobius
proheteromys
prokanisamys
prolagostomus
prolagurus
prolapsus
promeniscomys
prometheomys
promimomys
promylagaulus
proneofiber
proodontomys
propalaeocastor
propliomys
prosayimys
prosciurus
prosigmodon
prosiphneus
prosomys
prospalax
prospaniomys
prospermophilus
prostichomys
protacaremys
protadelomys
protadelphomys
protadjidaumo
protalactaga
protarsomys
protatera
protechimys
prothomomys
protohummus
protomys
protophiomys
protoptychus
protosciurus
protospermophilus
protosteiromys
protozapus
prozenkerella
pseudoacaremys
pseudoaplodon
pseudocollimys
pseudocricetodon
pseudocricetops
pseudocricetus
pseudocylindrodon
pseudodryomys
pseudoltinomys
pseudomeriones
pseudomys
pseudomyscus
pseudopalaeocastor
pseudoparamys
pseudoplataeomys
pseudosciurus
pseudotheridomys
pseudotomus
pterogaulus
pteromys
pterospalax
punjabemys
pygerethmus
quadratomus
quebradahondomys
quercomys
ramys
rapamys
rattus
ratufa
reithrodon
reithrodontomys
reithroparamys
remys
repomys
reynoldsomys
rhabdomys
rhagamys
rhagapodemus
rhagomys
rheithrosciurus
rhinocerodon
rhizomyides
rhizomyoides
rhizomys
rhizospalax
rhodanodolichotis
rhodanomys
rhodomys
ricardomys
ritteneria
rotundomys
rudiomys
ruscinomys
sacaresia
saccostomus
saharamys
saidomys
sallamys
salpingotus
sanctimus
sardomys
sayimys
saykanomys
scapteromys
schaubeumys
schistomys
schizocricetodon
schizodontomys
schreuderia
sciamys
scirtodipus
scirtopoda
sciuravus
sciurion
sciurodon
sciuroides
sciuromys
sciuropterus
sciurotamias
sciurus
scleromys
scotamys
scottimus
selenomys
selevinia
senoussimys
seorsumuscardinus
sespemys
shamalina
shamosminthus
sharomys
shazurus
shuanggouia
sicista
sigmodon
silicamys
simiacritomys
similisciurus
simimys
simonimys
simplicimys
simplomys
sinapodemus
sinapospalax
sindemys
sinocastor
sinocricetus
sinomylagaulus
sinosminthus
sinotamias
sinozapus
sivacanthion
sminthoides
soriamys
spalax
spaniomys
spanocricetodon
sparnacomys
spelaeomys
spermophilinus
spermophilus
spurimus
stachomys
steatomys
steiromys
steneofiber
stenocephalemys
stenodontomys
stephanomys
stertomys
strathcona
stratimus
stylocricetus
stylodipus
subathumys
suevoglis
suevosciurus
sundasciurus
suomys
sylvaemus
symmetrodontomys
synaptomys
tacheria
tachyoryctes
tachyoryctini
tachyoryctoides
tafimys
taishanomys
talahphiomys
tamias
tamiasciurus
tamiops
tamquammys
tapomys
tardontia
tarnomys
tataromys
tatera
taxymys
tectonomys
telicomys
temperocastor
tempestia
tenudomys
tenuiglis
terricola
testouromys
tetrastylus
texomys
thallomys
thalomys
theridomys
thisbemys
thomomys
thryonomys
tibericola
tillomys
tobienia
trakymys
treposciurus
tribosphenomys
trigontherium
trilaccogaulus
trilophomys
trogomys
trogontherium
trogopterus
tsagamys
tsagankhushumys
tsaganocricetus
tsaganomys
tsinlingomys
turkanamys
turkomys
tuscahomys
tylionomys
typhlomys
tyrannomys
tyrrhenicola
tyrrhenoglis
ugandamys
ulaancricetodon
ulanomys
ulkenulastomys
umbogaulus
ungaromys
uranomys
uriscus
valerymys
vallaris
vallehermosomys
vandeleuria
vasseuromys
vernaya
viejadjidaumo
villanyia
vulcanisciurus
wakkamys
willidewu
wilsoneumys
witenia
wushanomys
xenohystrix
xerus
xylechimys
yangia
yatkolamys
yindirtemys
yoderimys
yongshengomys
youngofiber
youngomys
yuanomys
yunomys
yuomys
zamolxifiber
zamoramys
zapus
zazamys
zegdoumys
zelomys
zelotomys
zemiodontomys
zenkerella
zetamys
zhungaromys
ziamys
zindapiria
zramys
