acheronictis
galidictis
genetta
ginsburgsmilus
glibzegdouia
gobicyon
gomphotaria
goupilictis
grivamephitis
gryphoca
guangxicyon
gulo
hadrictis
hadrokirus
halichoerus
haplocyon
haplocyonoides
harpagophagus
harpalodon
hecubides
helarctos
helogale
hemicyon
herpailurus
herpestes
herpestidae
herpestides
hesperocyon
hesperocyoninae
hesperoviverra
histriophoca
homiphoca
homotherium
hoplictis
hoplophoneus
howellictis
hyaena
hyaenarctis
hyaenictis
hyaenictitherium
hyaenidae
hyaenotherium
hydrarctos
hydrocyon
hydrurga
iberictis
ichneumia
ictidopappus
ictiocyon
ictitheriinae
ictitherium
ictonyx
ikelohyaena
imagotaria
imagotariinae
indarctos
ischyrictis
ischyrocyon
isolalutra
jourdanictis
kamtschatarctos
kanuites
kawas
ketketictis
kichechia
kinometaxia
kolponomos
laphyctis
lartetictis
legionarictis
leopardus
leptailurus
leptarctinae
leptarctus
leptocyon
leptonychotes
leptophoca
leptoplesictis
limnonyx
lobodon
lokotunjailurus
lontra
lophocyon
lutra
lutravus
lutrinae
lutrini
lutrogale
lycaena
lycaon
lycophocyon
lycyaena
lycyaenops
lyncodon
lynx
machairodontinae
machairodus
maemohcyon
magantereon
magerictis
magericyon
mammacyon
marcetia
martes
martinogale
matanomictis
mececyon
megacyon
megagomphos
megalenhydris
megalictis
megantereon
megaviverra
meiniogale
meles
melidellavus
melinae
mellalictis
mellivora
mellivorinae
melodon
melogale
melursus
mephitini
mephitis
mesocyon
mesomephitis
messelogale
messiphoca
metahyaena
metailurus
metalopex
metarctos
metatomarctus
miacidae
miacinae
miacis
miacoidea
microtomarctus
miocyon
miohyaenotherium
miomachairodus
miomephitis
miomustela
mionictis
miophoca
mioprionodon
miracinonyx
mirounga
miroungini
moghradictis
monachinae
monachini
monachopsis
monachus
monotherium
mungos
mungotictis
mustela
mustelavus
mustelidae
mustelinae
musteloidea
myacyon
namafelis
namibictis
nannomephitis
nasua
necromites
negodiaetictis
neofelis
neomonachus
neophoca
neotherium
neovulpavus
nesolutra
nimravidae
nimravides
nimravus
nyctereutes
odobenidae
odobeninae
odobenini
odobenus
oligobunis
ommatophoca
ontocetus
orangictis
oriensarctos
osbornodon
osmotherium
otaria
otariidae
otariinae
otarioidea
otarocyon
otocyon
oxetocyon
pachycrocuta
pachycynodon
pachyphoca
pacificotaria
pagophilus
paguma
palaearctonyx
palaeogale
palaeomeles
palaeoprionodon
palaeotaria
palmidophoca
paludolutra
pannonictis
panthera
pappictidops
paracynarctus
paradaphoenus
paradoxurinae
paradoxurus
paraenhydriodon
paraenhydrocyon
paragale
parahyaena
parahyaenodon
parailurus
paralutra
paramachaerodus
paramartes
parameles
paranasua
parapotos
parataxidea
paratomarctus
parictis
paroodectes
pekania
pelagiarctos
percrocuta
perunium
philotrox
phlaocyon
phoberocyon
phoberogale
phoca
phocanella
phocarctos
phocidae
phocinae
pinnarctidion
pinnipedia
piscophoca
pithanotaria
platyphoca
plesictis
plesiogale
plesiogulo
plesiomeles
pliocrocuta
pliocyon
pliogale
pliohoca
plionarctos
plionictis
pliopedia
pliophoca
pliotaxidea
plioviverrops
plithocyon
poecilictis
poecilogale
pogonodon
polgardia
pontolis
pontophoca
potamotherium
potos
praepusa
pratifelis
prepoecilogale
prionailurus
prionodon
pristinailurus
pristinictis
pristiphoca
proailurus
probassariscus
procynodictis
procyon
procyonidae
procyoninae
prodaphaenus
progenetta
prohesperocyon
promartes
promegantereon
promeles
promephitis
proneotherium
properiptychus
prophoca
proputorius
prosansanosmilus
protarctos
proteles
protemnocyon
protepicyon
proterozetes
protictitherium
protocyon
protodobenus
protomarctus
protoprocyon
prototaria
prototocyon
protursus
psalidocyon
pseudaelurus
pseudailurus
pseudalopex
pseudarctos
pseudocivetta
pseudocyon
pseudocyonopsis
pseudotaria
pteronarctos
pteronura
puijila
puma
pusa
putorius
pyctis
rhizocyon
rhodanictis
rudiocyon
sabadellictis
sahelictis
sansanosmilus
sardolutra
sardous
sarmatonectes
satherium
schlossericyon
semantor
semigenetta
shandgolictis
siamogale
simamphicyon
simocyon
sinictis
sivanasua
sivaonyx
sivapanthera
smilodon
sminthosinis
speothos
spilogale
stenailurus
stenogale
stenoplesictis
sthenictis
stromeriella
styriofelis
sunkahetanka
suricata
syrtosmilus
taxidea
taxidiinae
taxodon
temnocyon
temnocyoninae
tephrocyon
thalassictis
thalassoleon
thaumastocyon
thaumastocyoninae
therailurus
theriodictis
thos
tisisthenes
tomarctus
tongxinictis
torolutra
tremarctinae
tremarctos
trigonictis
trocharion
trochictis
trochotherium
tugenictis
tungurictis
tyrrhenolutra
ugandictis
uncia
urocyon
ursavus
ursidae
ursinae
ursulus
ursus
valenictus
vinayakia
viretailurus
vishnufelis
vishnuictis
vishnuonyx
viverra
viverravinae
viverrictis
viverricula
viverridae
viverrinae
vormela
vulpavus
vulpes
vulpini
werdelinus
xenalopex
xenictis
xenocyon
xenosmilus
ysengrinia
zalophus
zaragocyon
zodiolestes
