Iteration	posterior	NumSpeciation	numExtinction	numMassExtinctions 
8400	-890.050066025726	2	2	1
8500	-905.511020515539	1	5	2
8600	-891.810917806106	2	3	1
8700	-887.740191380158	1	3	0
8800	-888.980725226955	1	3	0
8900	-905.345379937956	1	2	4
9000	-891.280307456904	2	2	1
9100	-898.803900219921	4	3	1
9200	-898.135822278509	1	2	2
9300	-904.229121941542	3	4	2
9400	-898.99526095755	2	4	1
9500	-898.230394825066	1	2	3
9600	-908.057651204359	4	2	4
9700	-889.4313375281	2	2	1
9800	-906.857269536323	4	4	2
9900	-906.746401958135	5	5	0
10000	-899.642811442127	4	3	1
10100	-913.881761995436	3	5	2
10200	-902.267202882595	2	4	2
10300	-896.293873954609	2	3	1
10400	-919.371800261587	3	4	5
10500	-892.667263898391	2	2	1
10600	-903.530457161461	1	4	3
10700	-926.454168703027	4	4	5
10800	-916.4617416256	2	4	5
10900	-890.319408602168	3	2	0
11000	-888.874395310195	1	2	1
11100	-889.449452833533	1	2	1
11200	-894.331795802666	1	4	1
11300	-899.121370923668	4	1	2
11400	-916.528408381496	3	7	2
11500	-896.079217538944	3	3	0
11600	-897.522255142203	3	1	2
11700	-904.264223973486	3	5	1
11800	-904.61695296259	1	5	2
11900	-898.453973753322	3	4	1
12000	-910.963907930714	3	4	2
12100	-901.606359957551	2	5	0
12200	-918.680630602546	4	6	2
12300	-905.225643005767	4	4	1
12400	-889.577666072844	2	1	1
12500	-895.909354556744	3	3	1
12600	-884.723737054053	2	1	0
12700	-891.256786355503	1	3	1
12800	-910.167846091842	3	6	2
12900	-904.930173805797	6	1	1
13000	-897.647910056451	1	4	2
13100	-895.109547216047	1	3	2
13200	-892.273355409161	1	2	1
13300	-917.216913226752	2	6	4
13400	-900.183979587894	1	2	3
13500	-897.095086927233	3	3	0
13600	-900.94619755462	4	2	2
13700	-905.098780717191	4	3	2
13800	-912.661292619816	8	2	0
13900	-911.214683160313	6	3	1
14000	-896.192776707594	2	3	1
14100	-893.413741684116	2	3	1
14200	-900.431413575422	1	5	0
14300	-901.787458061501	5	3	1
14400	-900.173868406883	3	2	2
14500	-904.860619905582	5	2	1
14600	-887.619171792608	3	1	0
14700	-915.391806565001	7	3	2
14800	-889.975214754279	2	1	1
14900	-905.561735750123	4	3	3
15000	-904.45868099882	2	6	1
15100	-897.501384733076	1	3	2
15200	-894.532116644277	3	2	1
15300	-887.037210801487	3	1	0
15400	-895.650436688344	5	2	0
15500	-893.849250673683	2	3	1
15600	-885.548963001158	1	1	1
15700	-897.33763622563	3	3	1
15800	-893.444178858092	2	4	0
15900	-894.064185472472	3	3	1
16000	-888.958111723357	3	2	0
16100	-906.645402422979	4	5	1
16200	-896.756343879142	2	5	0
16300	-890.480657468031	2	3	0
16400	-899.631750085768	3	3	2
16500	-899.769230578885	4	4	0
16600	-884.655073419619	1	2	0
16700	-913.749315586584	3	7	1
16800	-899.827376860555	1	3	3
16900	-898.018128027805	6	1	1
17000	-905.053014796931	5	2	1
17100	-910.12118284673	7	2	0
17200	-906.116865850261	5	3	1
17300	-901.006381778387	4	2	2
17400	-891.884232578999	3	1	1
17500	-892.45894108634	2	4	0
17600	-897.16010986145	3	2	2
17700	-904.255740055313	3	4	2
17800	-894.054157390766	2	1	2
17900	-891.689653755563	1	2	1
18000	-908.283369623375	5	4	1
18100	-886.386615012764	1	2	0
18200	-899.76004551931	3	2	2
18300	-894.303970636082	2	1	1
18400	-897.908402811645	1	5	1
18500	-893.995407059161	1	3	2
18600	-906.825133917696	3	4	3
