"Scientific" "BodyMass.Value" "Trophic_level" "Lifespan"
"Sminthopsis bindi" 17.5 NA NA
"Sminthopsis archeri" 16 3 NA
"Sminthopsis aitkeni" 22.5 NA NA
"Sminthopsis granulipes" 25 NA NA
"Sminthopsis gilberti" 19.5 NA NA
"Planigale gilesi" 9.2 NA 5
"Planigale tenuirostris" 6.05 NA 5.2
"Planigale novaeguineae" 14.9 NA NA
"Planigale ingrami" 4.25 3 1.3
"Planigale maculata" 11 NA 5.8
"Macrotis lagotis" 1350 2 9.6
"Macrotis leucura" 354 2 NA
"Isoodon auratus" 425 2 6.7
"Isoodon macrourus" 1600 2 6.8
"Isoodon obesulus" 775 2 6.5
"Perameles nasuta" 975 2 5.6
"Perameles gunnii" 870 2 6.1
"Perameles eremiana" 500 2 NA
"Perameles bougainville" 226 2 5.8
"Peroryctes raffrayana" 838.5 1 3.2
"Peroryctes broadbenti" 4800 2 NA
"Echymipera clara" 1236.5 2 NA
"Echymipera davidi" 950 NA NA
"Echymipera echinista" 1000 NA NA
"Echymipera kalubu" 782.17 2 NA
"Echymipera rufescens" 1100 NA 3.1
"Microperoryctes longicauda" 538 2 NA
"Microperoryctes murina" 817.52 NA NA
"Microperoryctes papuensis" 158 NA NA
"Rhynchomeles prattorum" 817.52 NA NA
"Phascolarctos cinereus" 10250 1 22.1
"Lasiorhinus krefftii" 2900 1 30
"Lasiorhinus latifrons" 25500 1 29.9
"Vombatus ursinus" 26000 1 30
"Burramys parvus" 41.5 2 12
"Cercartetus nanus" 24 2 10.3
"Cercartetus caudatus" 25 2 3.2
"Cercartetus concinnus" 13 NA NA
"Cercartetus lepidus" 7 2 NA
"Ailurops melanotis" 10000 NA NA
"Ailurops ursinus" 10000 1 NA
"Phalanger lullulae" 1632.5 1 NA
"Phalanger vestitus" 1850 1 NA
"Phalanger sericeus" 2003 1 NA
"Phalanger rothschildi" 1365 1 NA
"Phalanger ornatus" 1787.5 1 NA
"Phalanger orientalis" 2168.75 1 4
"Phalanger mimicus" 1846.67 NA NA
"Phalanger matabiru" 1846.67 NA NA
"Phalanger intercastellanus" 1747.5 1 NA
"Phalanger gymnotis" 2597.89 2 18.9
"Phalanger carmelitae" 2047.5 2 NA
"Phalanger alexandrae" 1846.67 NA NA
"Phalanger matanim" 1550 1 NA
"Spilocuscus rufoniger" 6000 NA NA
"Spilocuscus kraemeri" 5535.39 NA NA
"Spilocuscus maculatus" 5106.75 1 17
"Spilocuscus papuensis" 5535.39 NA NA
"Strigocuscus celebensis" 500 NA NA
"Strigocuscus pelengensis" 500 1 NA
"Trichosurus arnhemensis" 1300 1 NA
"Trichosurus caninus" 3500 1 17
"Trichosurus cunninghami" 2293.08 NA NA
"Trichosurus johnstonii" 2293.08 NA NA
"Trichosurus vulpecula" 2650 1 15.9
"Wyulda squamicaudata" 1675 1 6
"Hemibelideus lemuroides" 952.5 NA 5.4
"Petauroides volans" 1300 1 15
"Petropseudes dahli" 1640 1 NA
"Pseudocheirus peregrinus" 900 1 10.1
"Pseudochirulus caroli" 456.02 1 NA
"Pseudochirulus schlegeli" 255.44 1 NA
"Pseudochirulus mayeri" 151.75 1 NA
"Pseudochirulus larvatus" 448.3 NA NA
"Pseudochirulus herbertensis" 1098.34 NA NA
"Pseudochirulus forbesi" 639.16 1 NA
"Pseudochirulus cinereus" 977.48 1 NA
"Pseudochirulus canescens" 300 1 NA
"Pseudochirops albertisii" 784.85 1 NA
"Pseudochirops archeri" 1091.5 1 NA
"Pseudochirops corinnae" 1123 1 NA
"Pseudochirops coronatus" 1500 1 NA
"Pseudochirops cupreus" 1724.5 1 NA
"Dactylopsila tatei" 252 2 NA
"Dactylopsila trivirgata" 413.53 2 9.6
"Dactylopsila palpator" 398 2 NA
"Dactylopsila megalura" 277.74 2 NA
"Gymnobelideus leadbeateri" 127 2 14.1
"Petaurus abidi" 278 2 NA
"Petaurus breviceps" 106.28 2 17.8
"Petaurus norfolcensis" 230 2 14.8
"Petaurus australis" 575 2 15
"Petaurus gracilis" 353 2 NA
"Petaurus biacensis" 90.98 2 NA
"Tarsipes rostratus" 9 1 2
"Acrobates pygmaeus" 12 2 8.8
"Distoechurus pennatus" 44.1 2 2
"Lagorchestes leporides" 3000 NA NA
"Lagorchestes hirsutus" 1265 1 13.2
"Lagorchestes conspicillatus" 3050 NA 8.8
"Lagorchestes asomatus" 1500 NA NA
"Macropus fuliginosus" 22000 NA 23.2
"Macropus giganteus" 25875 1 25
"Macropus parryi" 13500 1 14
"Macropus dorsalis" 11250 NA 15
"Macropus eugenii" 6500 NA 15.1
"Macropus greyi" 10000 NA NA
"Macropus parma" 4500 1 15.9
"Macropus agilis" 15000 1 16.9
"Macropus rufogriseus" 16850 NA 15.2
"Macropus irma" 8000 NA NA
"Macropus antilopinus" 27250 NA 19.8
"Macropus robustus" 21262.5 1 22
"Macropus bernardus" 17000 NA 11.8
"Macropus rufus" 46250 1 25
"Dendrolagus inustus" 13031.25 1 23.8
"Dendrolagus lumholtzi" 6750 NA NA
"Dendrolagus matschiei" 6960 1 26.9
"Dendrolagus mbaiso" 9395.06 NA NA
"Dendrolagus pulcherrimus" 9511.11 NA NA
"Dendrolagus scottae" 10375 1 NA
"Dendrolagus spadix" 9100 1 NA
"Dendrolagus stellarum" 9511.11 NA NA
"Dendrolagus ursinus" 13250 1 20
"Dendrolagus bennettianus" 10950 NA 20
"Dendrolagus dorianus" 9581 2 19
"Dendrolagus goodfellowi" 8025 1 23.6
"Dorcopsis luctuosa" 6352 1 13.9
"Dorcopsis muelleri" 5500 NA 12.4
"Dorcopsis hageni" 5500 2 NA
"Dorcopsis atrata" 5916.5 2 8
"Dorcopsulus vanheurni" 1785.75 1 NA
"Dorcopsulus macleayi" 2988 1 7.9
"Onychogalea unguifera" 6650 NA 5.5
"Onychogalea lunata" 3500 NA NA
"Onychogalea fraenata" 5500 1 7.4
"Petrogale purpureicollis" 5850 NA NA
"Petrogale coenensis" 4123.14 NA NA
"Petrogale burbidgei" 1258 NA NA
"Petrogale brachyotis" 4050 NA 10.1
"Petrogale assimilis" 4500 NA 13
"Petrogale godmani" 4750 NA NA
"Petrogale xanthopus" 8500 1 14.4
"Petrogale sharmani" 4123.14 NA NA
"Petrogale herberti" 4123.14 NA NA
"Petrogale inornata" 4600 NA NA
"Petrogale lateralis" 4625 NA 12
"Petrogale mareeba" 4123.14 NA NA
"Petrogale concinna" 1400 NA 11.7
"Petrogale persephone" 6200 1 NA
"Petrogale rothschildi" 3400 NA NA
"Petrogale penicillata" 7100 NA 14.3
"Setonix brachyurus" 3250 1 13.8
"Thylogale calabyi" 4326.13 NA NA
"Thylogale browni" 5478 NA NA
"Thylogale thetis" 5400 NA 9
"Thylogale stigmatica" 4600 1 9.7
"Thylogale lanatus" 4758.79 NA NA
"Thylogale brunii" 3620 NA 9.4
"Thylogale billardierii" 5450 NA 8.8
"Wallabia bicolor" 15000 1 16.8
"Lagostrophus fasciatus" 1700 1 4
"Hypsiprymnodon moschatus" 520 2 6
"Aepyprymnus rufescens" 3250 NA 12.8
"Bettongia lesueur" 1500 NA 10
"Bettongia penicillata" 1300 NA 18.8
"Bettongia tropica" 1256.58 NA 7
"Bettongia gaimardi" 1660 NA 11.8
"Caloprymnus campestris" 900 NA 13
"Potorous platyops" 500 NA NA
"Potorous gilbertii" 1569.46 1 NA
"Potorous longipes" 1900 1 15.3
"Potorous tridactylus" 1100 NA 14.5
"Geogale aurita" 7 3 NA
"Limnogale mergulus" 78.6 3 NA
"Microgale longicaudata" 7.3 3 NA
"Microgale thomasi" 22.9 NA NA
"Microgale talazaci" 48 3 5.8
"Microgale taiva" 12.4 NA NA
"Microgale soricoides" 18.7 NA NA
"Microgale pusilla" 3.4 NA NA
"Microgale principula" 10.2 NA NA
"Microgale parvula" 3.4 NA NA
"Microgale monticola" 13.9 NA NA
"Microgale gymnorhyncha" 18.2 NA NA
"Microgale gracilis" 23.3 NA NA
"Microgale fotsifotsy" 7.7 NA NA
"Microgale dryas" 40 NA NA
"Microgale drouhardi" 10.5 NA NA
"Microgale dobsoni" 38 3 5.6
"Microgale cowani" 13.8 NA NA
"Microgale brevicaudata" 11.3 3 NA
"Microgale nasoloi" 13.83 NA NA
"Oryzorictes hova" 36.5 NA NA
"Oryzorictes tetradactylus" 36 NA NA
"Micropotamogale lamottei" 69.6 3 NA
"Micropotamogale ruwenzorii" 98.5 3 NA
"Potamogale velox" 659.99 3 NA
"Echinops telfairi" 180 3 19
"Hemicentetes semispinosus" 137.8 3 2.7
"Hemicentetes nigriceps" 102.99 3 2.6
"Setifer setosus" 294 2 14.1
"Tenrec ecaudatus" 868 2 8.7
"Carpitalpa arendsi" 52.34 3 NA
"Chlorotalpa duthieae" 49.7 3 NA
"Chlorotalpa sclateri" 41 3 NA
"Chrysochloris asiatica" 49 3 NA
"Chrysochloris visagiei" 30 3 NA
"Chrysochloris stuhlmanni" 39.8 3 NA
"Chrysospalax trevelyani" 426.5 3 4
"Chrysospalax villosus" 119.88 3 NA
"Cryptochloris zyli" 25 3 NA
"Cryptochloris wintoni" 25 3 NA
"Eremitalpa granti" 26.1 2 2
"Amblysomus corriae" 52.6 NA NA
"Amblysomus hottentotus" 52.6 2 1
"Amblysomus marleyi" 52.6 NA NA
"Amblysomus robustus" 52.6 NA NA
"Amblysomus septentrionalis" 52.6 NA NA
"Calcochloris obtusirostris" 24.05 3 NA
"Calcochloris leucorhinus" 49.7 3 NA
"Calcochloris tytonis" 49.7 3 NA
"Neamblysomus julianae" 21.99 3 NA
"Neamblysomus gunningi" 35.84 3 NA
"Elephantulus rupestris" 66.4 NA NA
"Elephantulus brachyrhynchus" 47.5 3 NA
"Elephantulus edwardii" 48 NA NA
"Elephantulus fuscipes" 57 NA NA
"Elephantulus fuscus" 52.56 3 NA
"Elephantulus intufi" 49.5 3 9.3
"Elephantulus myurus" 52.4 2 1.1
"Elephantulus revoili" 32.5 NA NA
"Elephantulus rozeti" 48 NA 7.2
"Elephantulus rufescens" 37.5 2 7.9
"Macroscelides proboscideus" 38.2 2 8.7
"Petrodromus tetradactylus" 187.5 2 NA
"Rhynchocyon chrysopygus" 540 3 11
"Rhynchocyon cirnei" 490 3 NA
"Rhynchocyon petersi" 424 NA NA
"Orycteropus afer" 52350.4 3 29.8
"Dendrohyrax arboreus" 2949.99 1 13.6
"Dendrohyrax dorsalis" 3175 1 10
"Heterohyrax brucei" 2625 1 14
"Procavia capensis" 3029.98 1 14.8
"Elephas maximus" 2915040 1 65.5
"Loxodonta africana" 3940034.28 1 65
"Loxodonta cyclotis" 4750000.01 1 NA
"Dugong dugon" 310000 2 73
"Trichechus inunguis" 480000 1 40
"Trichechus manatus" 433333 2 65
"Trichechus senegalensis" 454000 2 NA
"Dasypus septemcinctus" 1526.65 2 16.8
"Dasypus yepesi" 2785.87 2 NA
"Dasypus sabanicola" 1150.01 3 NA
"Dasypus pilosus" 4444.98 2 NA
"Dasypus novemcinctus" 4203.78 2 22.3
"Dasypus kappleri" 9500 2 NA
"Dasypus hybridus" 1500 2 NA
"Calyptophractus retusus" 129.99 2 12
"Chaetophractus nationi" 2150.01 3 NA
"Chaetophractus vellerosus" 1030.01 2 16.2
"Chaetophractus villosus" 4540.04 NA 25.2
"Chlamyphorus truncatus" 44.3 2 NA
"Euphractus sexcinctus" 4782.89 2 22.1
"Zaedyus pichiy" 1380 2 12.5
"Cabassous unicinctus" 4799.99 3 NA
"Cabassous centralis" 3809.96 3 NA
"Cabassous chacoensis" 1490.01 3 NA
"Cabassous tatouay" 5349.95 3 NA
"Priodontes maximus" 45359.68 3 15
"Tolypeutes matacus" 1200 2 36.8
"Tolypeutes tricinctus" 1487 2 NA
"Bradypus pygmaeus" 4022.57 NA NA
"Bradypus torquatus" 3899.96 2 12
"Bradypus tridactylus" 3849.99 1 NA
"Bradypus variegatus" 4335.01 1 NA
"Choloepus didactylus" 5160 2 36.8
"Choloepus hoffmanni" 4750.01 1 41
"Cyclopes didactylus" 329.5 3 2.3
"Myrmecophaga tridactyla" 22333.15 3 31
"Tamandua mexicana" 4209.98 3 16
"Tamandua tetradactyla" 5515.06 3 19
"Anathana ellioti" 160 NA NA
"Dendrogale melanura" 60 NA NA
"Dendrogale murina" 50 NA NA
"Tupaia moellendorffi" 150.45 NA NA
"Tupaia gracilis" 74.58 2 NA
"Tupaia tana" 197.83 2 11.6
"Tupaia splendidula" 160 2 NA
"Tupaia picta" 147.5 2 NA
"Tupaia palawanensis" 168.05 2 NA
"Tupaia nicobarica" 170.25 NA NA
"Tupaia montana" 199 2 NA
"Tupaia belangeri" 200 NA 11.1
"Tupaia javanica" 105 NA NA
"Tupaia minor" 64.28 2 12.2
"Tupaia glis" 169.83 2 12.4
"Tupaia dorsalis" 265 2 NA
"Tupaia chrysogaster" 131.08 NA NA
"Tupaia longipes" 168.05 2 12
"Urogale everetti" 350 2 11.5
"Ptilocercus lowii" 41.88 2 2.7
"Cynocephalus volans" 1250 1 NA
"Galeopterus variegates" 1112.2 1 0.2875
"Allocebus trichotis" 77.5 2 NA
"Cheirogaleus crossleyi" 285.39 NA NA
"Cheirogaleus major" 450 2 13.4
"Cheirogaleus medius" 181 2 23.2
"Cheirogaleus minusculus" 285.39 NA NA
"Cheirogaleus ravus" 285.39 NA NA
"Cheirogaleus sibreei" 285.39 NA NA
"Cheirogaleus adipicaudatus" 285.39 NA NA
"Microcebus murinus" 69 2 18.2
"Microcebus tavaratra" 68.01 NA NA
"Microcebus sambiranensis" 49.06 NA NA
"Microcebus rufus" 42.5 2 12
"Microcebus griseorufus" 70.24 NA NA
"Microcebus berthae" 33.45 NA NA
"Microcebus myoxinus" 30 2 NA
"Microcebus ravelobensis" 55 NA NA
"Mirza coquereli" 308 2 17.4
"Phaner electromontis" 425 NA NA
"Phaner furcifer" 400 2 25
"Phaner pallescens" 425 NA NA
"Phaner parienti" 425 NA NA
"Eulemur albocollaris" 2397.37 NA NA
"Eulemur sanfordi" 2394.03 NA NA
"Eulemur rufus" 2394.62 NA NA
"Eulemur rubriventer" 1400 2 20
"Eulemur mongoz" 1600 2 36.2
"Eulemur macaco" 2040 2 36.2
"Eulemur fulvus" 3150 1 35.5
"Eulemur coronatus" 1650 2 27
"Eulemur cinereiceps" 2114.06 NA NA
"Eulemur albifrons" 2300 NA NA
"Eulemur collaris" 2375 NA NA
"Hapalemur alaotrensis" 1616.83 NA NA
"Hapalemur occidentalis" 750 NA NA
"Hapalemur griseus" 1400 1 23.3
"Hapalemur aureus" 1575 1 NA
"Lemur catta" 2900 2 37.3
"Prolemur simus" 2030.41 2 17.6
"Varecia rubra" 3872.6 NA NA
"Varecia variegata" 3850 1 37
"Lepilemur leucopus" 650 1 8.583333333
"Lepilemur septentrionalis" 750 1 NA
"Lepilemur ruficaudatus" 700 1 NA
"Lepilemur microdon" 900 2 NA
"Lepilemur edwardsi" 700 2 NA
"Lepilemur dorsalis" 500 1 NA
"Lepilemur ankaranensis" 700.89 NA NA
"Lepilemur mustelinus" 773 1 12
"Avahi laniger" 900 1 NA
"Avahi occidentalis" 800 1 NA
"Avahi unicolor" 848.53 NA NA
"Indri indri" 8000 1 NA
"Propithecus edwardsi" 6573.27 NA NA
"Propithecus verreauxi" 3480 1 31
"Propithecus perrieri" 5250 NA NA
"Propithecus deckenii" 4000 NA NA
"Propithecus coquereli" 4189.27 NA NA
"Propithecus tattersalli" 3500 1 20
"Propithecus diadema" 7500 1 21
"Daubentonia madagascariensis" 2500 2 23.3
"Arctocebus aureus" 235 NA NA
"Arctocebus calabarensis" 210 2 13
"Loris lydekkerianus" 254.06 NA NA
"Loris tardigradus" 227.67 2 19.3
"Nycticebus coucang" 803.5 2 25.8
"Nycticebus pygmaeus" 900 NA 17.1
"Nycticebus bengalensis" 1137.36 NA NA
"Perodicticus potto" 1099.99 2 26.8
"Pseudopotto martini" 474.8 NA NA
"Euoticus elegantulus" 300 2 15
"Euoticus pallidus" 230 NA NA
"Galago gabonensis" 165.68 NA NA
"Galago thomasi" 117.35 NA NA
"Galago senegalensis" 227.67 2 17.1
"Galago rondoensis" 165.68 NA NA
"Galago nyasae" 165.68 NA NA
"Galago orinus" 165.68 NA NA
"Galago zanzibaricus" 147.35 2 NA
"Galago matschiei" 210 NA NA
"Galago granti" 165.68 NA NA
"Galago alleni" 260 1 12
"Galago cameronensis" 165.68 NA NA
"Galago gallarum" 250 NA NA
"Galago moholi" 160 1 16.6
"Galago demidoff" 66.04 2 13.4
"Otolemur monteiri" 1577.16 NA NA
"Otolemur garnettii" 760 2 18.3
"Otolemur crassicaudatus" 1500 2 22.7
"Saguinus niger" 462.13 NA NA
"Saguinus midas" 540 2 21
"Saguinus mystax" 618 2 20
"Saguinus pileatus" 462.13 NA NA
"Saguinus nigricollis" 462 NA 20.2
"Saguinus bicolor" 465 2 19
"Saguinus fuscicollis" 387 2 24.9
"Saguinus leucopus" 440 2 15.2
"Saguinus tripartitus" 393.5 NA NA
"Saguinus geoffroyi" 486.5 2 20.5
"Saguinus oedipus" 430 2 26.2
"Saguinus martinsi" 462.13 NA NA
"Saguinus labiatus" 575 NA 20.5
"Saguinus inustus" 410.5 NA NA
"Saguinus imperator" 400 2 23.7
"Saguinus graellsi" 462.13 NA NA
"Saguinus melanoleucus" 462.13 NA NA
"Callimico goeldii" 480 2 22.2
"Callithrix flaviceps" 342 2 NA
"Callithrix kuhlii" 342 2 20
"Callithrix geoffroyi" 342 NA 17.6
"Callithrix aurita" 342 2 NA
"Callithrix penicillata" 342 NA 15.4
"Callithrix jacchus" 292 2 22.8
"Callithrix nigriceps" 401.12 2 NA
"Callithrix intermedia" 335.61 NA NA
"Callithrix leucippe" 335.61 NA NA
"Callithrix manicorensis" 335.61 NA NA
"Callithrix marcai" 335.61 NA NA
"Callithrix melanura" 335.61 NA NA
"Callithrix humeralifera" 374.99 2 15
"Callithrix saterei" 441.25 NA NA
"Callithrix mauesi" 443.79 2 NA
"Callithrix emiliae" 309.58 NA NA
"Callithrix chrysoleuca" 335.61 NA NA
"Callithrix argentata" 440 2 16.5
"Callithrix acariensis" 335.61 NA NA
"Callithrix pygmaea" 125 2 18.6
"Callithrix humilis" 335.61 NA NA
"Leontopithecus rosalia" 535.5 2 31.6
"Leontopithecus chrysopygus" 700 2 17.9
"Leontopithecus chrysomelas" 572.8 NA 21.3
"Leontopithecus caissara" 572 NA NA
"Cebus apella" 2500 2 46
"Cebus capucinus" 2733.32 2 54
"Cebus kaapori" 3000 NA NA
"Cebus nigritus" 2687.21 2 44
"Cebus olivaceus" 2599.98 2 47
"Cebus xanthosternos" 2687.21 NA NA
"Cebus albifrons" 2629 2 40.4
"Cebus libidinosus" 2687.21 NA NA
"Saimiri boliviensis" 615.01 NA 30.3
"Saimiri oerstedii" 278.5 2 NA
"Saimiri sciureus" 743.24 2 30.2
"Saimiri ustus" 1000 NA NA
"Saimiri vanzolinii" 769.61 NA NA
"Ateles paniscus" 7900.05 2 46
"Ateles geoffroyi" 5284.94 1 47.1
"Ateles hybridus" 6394.85 NA NA
"Ateles fusciceps" 9100 1 46
"Ateles marginatus" 5999.98 1 44
"Ateles chamek" 5999.98 1 42.8
"Ateles belzebuth" 5000 1 37
"Brachyteles hypoxanthus" 13499.88 NA NA
"Brachyteles arachnoides" 13499.88 2 40
"Lagothrix lagotricha" 6299.99 2 32
"Lagothrix lugens" 6 NA NA
"Lagothrix poeppigii" 62.31 NA NA
"Lagothrix cana" 6.4 NA NA
"Oreonax flavicauda" 8229.12 1 NA
"Alouatta seniculus" 6145.54 2 25
"Alouatta guariba" 5188.33 1 NA
"Alouatta belzebul" 6400 NA NA
"Alouatta caraya" 5862.46 1 32.4
"Alouatta coibensis" 6320.06 NA NA
"Alouatta macconnelli" 6320.06 NA NA
"Alouatta nigerrima" 6320.06 NA NA
"Alouatta palliata" 7274.95 1 24
"Alouatta sara" 6611.04 NA NA
"Alouatta pigra" 7000.03 1 20
"Aotus nigriceps" 1060.01 2 NA
"Aotus miconax" 800 2 NA
"Aotus azarae" 929.57 2 30
"Aotus vociferans" 872.99 1 22.1
"Aotus lemurinus" 872.99 2 33.8
"Aotus nancymaae" 788.01 2 NA
"Aotus trivirgatus" 899.99 2 30.1
"Aotus hershkovitzi" 800 2 NA
"Callicebus ornatus" 1170.5 NA NA
"Callicebus caligatus" 992.41 NA NA
"Callicebus baptista" 1011.32 NA NA
"Callicebus brunneus" 992.41 NA NA
"Callicebus bernhardi" 950 NA NA
"Callicebus coimbrai" 1011.32 NA NA
"Callicebus barbarabrownae" 1011.32 NA NA
"Callicebus stephennashi" 690 NA NA
"Callicebus cinerascens" 992.41 NA NA
"Callicebus pallescens" 800 NA NA
"Callicebus olallae" 992.41 NA NA
"Callicebus oenanthe" 992.41 NA NA
"Callicebus nigrifrons" 1011.32 NA NA
