species	order_pbdb	order_now	fam_pbdb	fam_now	genus	species	occ_pbdb	occ_now
Agnotocastor galushai	rodentia	NA	castoridae	NA	agnotocastor	galushai	1	NA
Paleoparadoxia media	desmostylia	NA	NA	NA	paleoparadoxia	media	1	NA
Copecion davisi	NA	NA	phenacodontidae	NA	copecion	davisi	30	NA
Pachynolophus garimondi	perissodactyla	perissodactyla	NA	palaeotheriidae	pachynolophus	garimondi	2	1
Kherem asiatica	rodentia	NA	sciuridae	NA	kherem	asiatica	1	NA
Entoptychus planifrons	rodentia	NA	geomyidae	NA	entoptychus	planifrons	2	NA
Sarcophilus laniarius	dasyuromorphia	dasyuromorphia	dasyuridae	dasyuridae	sarcophilus	laniarius	9	1
Alcelaphus lichtensteini	artiodactyla	NA	bovidae	NA	alcelaphus	lichtensteini	1	NA
Prodryomys satus	rodentia	rodentia	gliridae	gliridae	prodryomys	satus	3	25
Wainka tshotshe	litopterna	NA	notonychopidae	NA	wainka	tshotshe	2	NA
Miotragocerus rugosifrons	NA	artiodactyla	NA	bovidae	miotragocerus	rugosifrons	NA	3
Nortedelphys jasoni	NA	NA	herpetotheriidae	NA	nortedelphys	jasoni	13	NA
Eosimias dawsonae	primates	NA	eosimiidae	NA	eosimias	dawsonae	1	NA
Petenyia katrinae	NA	eulipotyphla	soricidae	soricidae	petenyia	katrinae	1	2
Promacrauchenia antiqua	litopterna	NA	macraucheniidae	NA	promacrauchenia	antiqua	3	NA
Eopachyrucos pliciferus	notoungulata	NA	interatheriidae	NA	eopachyrucos	pliciferus	3	NA
Shaanxispira NA	NA	artiodactyla	NA	bovidae	shaanxispira	NA	NA	1
Plesiogulo marshalli	carnivora	NA	mustelidae	NA	plesiogulo	marshalli	10	NA
Prodipodomys kansensis	rodentia	NA	heteromyidae	NA	prodipodomys	kansensis	2	NA
Hoplophoneus cerebralis	carnivora	NA	nimravidae	NA	hoplophoneus	cerebralis	6	NA
Hemiauchenia macrocephala	artiodactyla	NA	camelidae	NA	hemiauchenia	macrocephala	68	NA
Jaegeria cambayensis	chiroptera	chiroptera	NA	indet.	jaegeria	cambayensis	1	1
Baiotomeus russelli	multituberculata	NA	ptilodontidae	NA	baiotomeus	russelli	1	NA
Axis shansius	NA	artiodactyla	NA	cervidae	axis	shansius	NA	4
Coendou prehensilis	rodentia	NA	erethizontidae	NA	coendou	prehensilis	4	NA
Saccostomus campestris	NA	rodentia	NA	muridae	saccostomus	campestris	NA	3
Prodiacodon puercensis	NA	NA	leptictidae	NA	prodiacodon	puercensis	7	NA
Ectypodus riansensis	multituberculata	NA	neoplagiaulacidae	NA	ectypodus	riansensis	2	NA
Tylonycteris pachypus	NA	chiroptera	NA	vespertilionidae	tylonycteris	pachypus	NA	1
Heterosminthus lanzhouensis	rodentia	NA	dipodidae	NA	heterosminthus	lanzhouensis	6	NA
Ischyromys blacki	rodentia	NA	ischyromyidae	NA	ischyromys	blacki	2	NA
Castromys inflatus	rodentia	rodentia	muridae	muridae	castromys	inflatus	1	8
Samotragus pilgrimi	artiodactyla	artiodactyla	bovidae	bovidae	samotragus	pilgrimi	1	2
Microparamys hunterae	rodentia	NA	ischyromyidae	NA	microparamys	hunterae	5	NA
Croizetoceros pyrenaicus	NA	artiodactyla	NA	cervidae	croizetoceros	pyrenaicus	NA	4
Plecotus alleganiensis	chiroptera	NA	vespertilionidae	NA	plecotus	alleganiensis	2	NA
Nyctitherium christopheri	NA	NA	nyctitheriidae	NA	nyctitherium	christopheri	5	NA
Alagomys russelli	rodentia	NA	alagomyidae	NA	alagomys	russelli	1	NA
Neotoma amplidonta	rodentia	NA	cricetidae	NA	neotoma	amplidonta	1	NA
Quyania chowi	lipotyphla	eulipotyphla	talpidae	talpidae	quyania	chowi	3	2
Eubalaena belgica	cetacea	NA	balaenidae	NA	eubalaena	belgica	1	NA
Cyrnaonyx antiqua	carnivora	carnivora	mustelidae	mustelidae	cyrnaonyx	antiqua	1	1
Soricolestes soricavus	NA	eulipotyphla	soricidae	soricidae	soricolestes	soricavus	1	1
Rhizomys brachyrhizomysoides	NA	rodentia	NA	muridae	rhizomys	brachyrhizomysoides	NA	9
Sigmodon libitinus	rodentia	NA	cricetidae	NA	sigmodon	libitinus	6	NA
Oreamnos americanus	artiodactyla	NA	bovidae	NA	oreamnos	americanus	4	NA
Lagomeryx pumilio	NA	artiodactyla	NA	cervidae	lagomeryx	pumilio	NA	21
Bonapartherium serrensis	polydolopimorphia	NA	bonapartheriidae	NA	bonapartherium	serrensis	1	NA
Osbornodon sesnoni	carnivora	NA	canidae	NA	osbornodon	sesnoni	3	NA
Lynx lynx	carnivora	carnivora	felidae	felidae	lynx	lynx	12	24
Cormohipparion sinapensis	NA	perissodactyla	NA	equidae	cormohipparion	sinapensis	NA	5
Leptodontomys NA	NA	rodentia	NA	eomyidae	leptodontomys	NA	NA	10
Prodaphaenus uintensis	carnivora	NA	miacidae	NA	prodaphaenus	uintensis	1	NA
Keramidomys carpathicus	rodentia	rodentia	eomyidae	eomyidae	keramidomys	carpathicus	22	45
Sus NA	NA	artiodactyla	NA	suidae	sus	NA	NA	38
Bensonomys lindsayi	rodentia	NA	cricetidae	NA	bensonomys	lindsayi	1	NA
Atelerix tobieni	NA	eulipotyphla	NA	erinaceidae	atelerix	tobieni	NA	2
Leucokephalos zeffiae	rodentia	NA	NA	NA	leucokephalos	zeffiae	1	NA
Allocricetus bursae	NA	rodentia	NA	muridae	allocricetus	bursae	NA	38
Phoca pontica	NA	carnivora	NA	phocidae	phoca	pontica	NA	2
Holmesina septentrionalis	cingulata	NA	pampatheriidae	NA	holmesina	septentrionalis	44	NA
Ctenacodon scindens	multituberculata	NA	allodontidae	NA	ctenacodon	scindens	1	NA
Microcosmodon arcuatus	multituberculata	NA	microcosmodontidae	NA	microcosmodon	arcuatus	1	NA
Papio cynocephalus	primates	NA	cercopithecidae	NA	papio	cynocephalus	3	NA
Limnonyx pontica	carnivora	carnivora	mustelidae	mustelidae	limnonyx	pontica	2	2
Chasmaporthetes NA	NA	carnivora	NA	hyaenidae	chasmaporthetes	NA	NA	11
Orycterocetus crocodilinus	cetacea	NA	physeteridae	NA	orycterocetus	crocodilinus	16	NA
Eirictis robusta	NA	carnivora	NA	mustelidae	eirictis	robusta	NA	2
Plesiogulo praecocidens	NA	carnivora	NA	mustelidae	plesiogulo	praecocidens	NA	2
Uropsilus soricipes	lipotyphla	eulipotyphla	talpidae	talpidae	uropsilus	soricipes	1	10
Pliotragus ardeus	NA	artiodactyla	NA	bovidae	pliotragus	ardeus	NA	5
Acotherulum campichii	artiodactyla	NA	cebochoeridae	NA	acotherulum	campichii	6	NA
Periconodon lemoinei	primates	NA	notharctidae	NA	periconodon	lemoinei	1	NA
Hystrix refossa	NA	rodentia	NA	hystricidae	hystrix	refossa	NA	6
Crocidura palawanensis	NA	eulipotyphla	NA	soricidae	crocidura	palawanensis	NA	3
Miohippus equiceps	perissodactyla	NA	equidae	NA	miohippus	equiceps	11	NA
Gelocus whitworthi	NA	artiodactyla	NA	gelocidae	gelocus	whitworthi	NA	1
Otomys gracilis	NA	rodentia	NA	muridae	otomys	gracilis	NA	5
Palaeoryx majori	NA	artiodactyla	NA	bovidae	palaeoryx	majori	NA	9
Stegodon orientalis	NA	proboscidea	NA	elephantidae	stegodon	orientalis	NA	24
Vallehermosomys mazzonii	rodentia	NA	NA	NA	vallehermosomys	mazzonii	1	NA
Urtinotherium NA	NA	perissodactyla	NA	hyracodontidae	urtinotherium	NA	NA	1
Hilalia saribeya	condylarthra	condylarthra	pleuraspidotheriidae	indet.	hilalia	saribeya	1	1
Nannippus westoni	perissodactyla	NA	equidae	NA	nannippus	westoni	9	NA
Pliomys chalinei	NA	rodentia	NA	muridae	pliomys	chalinei	NA	1
Talpa praeglacialis	lipotyphla	eulipotyphla	talpidae	talpidae	talpa	praeglacialis	1	2
Platybelodon tongxinensis	NA	proboscidea	NA	gomphotheriidae	platybelodon	tongxinensis	NA	4
Hylomeryx quadricuspis	artiodactyla	NA	homacodontidae	NA	hylomeryx	quadricuspis	2	NA
Democricetodon decipiens	NA	rodentia	NA	muridae	democricetodon	decipiens	NA	7
Darwinius masillae	primates	primates	NA	adapidae	darwinius	masillae	1	1
Theropithecus darti	NA	primates	NA	cercopithecidae	theropithecus	darti	NA	5
Mogera insularis	NA	eulipotyphla	NA	talpidae	mogera	insularis	NA	2
Amphiperatherium bastbergense	NA	NA	herpetotheriidae	NA	amphiperatherium	bastbergense	2	NA
Chambius NA	NA	macroscelidea	NA	macroscelidae	chambius	NA	NA	1
Conepatus suffocans	carnivora	NA	mustelidae	NA	conepatus	suffocans	2	NA
Microparamys paisi	rodentia	NA	ischyromyidae	NA	microparamys	paisi	1	NA
Sinictis pentelici	NA	carnivora	NA	mustelidae	sinictis	pentelici	NA	2
Loxodonta adaurora	NA	proboscidea	NA	elephantidae	loxodonta	adaurora	NA	22
Microdyromys wuae	NA	rodentia	NA	gliridae	microdyromys	wuae	NA	3
Uintaceras radinskyi	perissodactyla	NA	rhinocerotidae	NA	uintaceras	radinskyi	2	NA
Alicornops complanatum	NA	perissodactyla	NA	rhinocerotidae	alicornops	complanatum	NA	1
Watutia novaeguineae	diprotodontia	NA	macropodidae	NA	watutia	novaeguineae	1	NA
Sairadelphys tocantinensis	didelphimorphia	NA	didelphidae	NA	sairadelphys	tocantinensis	1	NA
Atlantoxerus tadlae	NA	rodentia	NA	sciuridae	atlantoxerus	tadlae	NA	3
Canaanimys maquiensis	rodentia	NA	NA	NA	canaanimys	maquiensis	2	NA
Tragelaphus NA	NA	artiodactyla	NA	bovidae	tragelaphus	NA	NA	27
Planigale maculata	dasyuromorphia	NA	dasyuridae	NA	planigale	maculata	1	NA
Insulotragus pepgonellai	NA	artiodactyla	NA	bovidae	insulotragus	pepgonellai	NA	1
Xenosmilus hodsonae	carnivora	NA	felidae	NA	xenosmilus	hodsonae	2	NA
Pleurostylodon complanatus	notoungulata	NA	isotemnidae	NA	pleurostylodon	complanatus	3	NA
Homo heidelbergensis	primates	primates	hominidae	hominidae	homo	heidelbergensis	1	3
Martes khelifensis	carnivora	NA	mustelidae	NA	martes	khelifensis	1	NA
Moropus merriami	perissodactyla	NA	chalicotheriidae	NA	moropus	merriami	5	NA
Taurotragus NA	NA	artiodactyla	NA	bovidae	taurotragus	NA	NA	1
Brachyhyops trofimovi	artiodactyla	NA	NA	NA	brachyhyops	trofimovi	2	NA
Adapis sudrei	primates	NA	adapidae	NA	adapis	sudrei	1	NA
Gobicyon macrognathus	NA	carnivora	NA	amphicyonidae	gobicyon	macrognathus	NA	3
Sinolagomys gracilis	NA	lagomorpha	NA	ochotonidae	sinolagomys	gracilis	NA	2
Tanymykter brachyodontus	artiodactyla	NA	camelidae	NA	tanymykter	brachyodontus	5	NA
Pascualdelphys fierroensis	polydolopimorphia	NA	rosendolopidae	NA	pascualdelphys	fierroensis	1	NA
Khirtharia inflata	NA	artiodactyla	NA	raoellidae	khirtharia	inflata	NA	1
Pliocervus graecus	NA	artiodactyla	NA	cervidae	pliocervus	graecus	NA	1
Postschizotherium NA	NA	hyracoidea	NA	pliohyracidae	postschizotherium	NA	NA	2
Olsenia mira	acreodi	NA	mesonychidae	NA	olsenia	mira	1	NA
Franimys amherstensis	rodentia	NA	paramyidae	NA	franimys	amherstensis	3	NA
Teleolophus shandongensis	perissodactyla	NA	tapiridae	NA	teleolophus	shandongensis	1	NA
Prozaedius planus	cingulata	NA	dasypodidae	NA	prozaedius	planus	1	NA
Redunca NA	NA	artiodactyla	NA	bovidae	redunca	NA	NA	11
Baiomys mowi	rodentia	NA	cricetidae	NA	baiomys	mowi	1	NA
Amblotherium gracilis	NA	NA	dryolestidae	NA	amblotherium	gracilis	8	NA
Nothokemas floridanus	artiodactyla	NA	camelidae	NA	nothokemas	floridanus	3	NA
Brachypsalis hyaenoides	carnivora	NA	mustelidae	NA	brachypsalis	hyaenoides	1	NA
Chriacus calenancus	NA	NA	arctocyonidae	NA	chriacus	calenancus	1	NA
Ligerimys magnus	NA	rodentia	NA	eomyidae	ligerimys	magnus	NA	5
Ursus labiatus	NA	carnivora	NA	ursidae	ursus	labiatus	NA	1
Paradomnina relictus	NA	NA	heterosoricidae	NA	paradomnina	relictus	10	NA
Sansanosmilus vallesiensis	NA	carnivora	NA	barbourofelidae	sansanosmilus	vallesiensis	NA	1
Anemorhysis pattersoni	primates	NA	omomyidae	NA	anemorhysis	pattersoni	2	NA
Cetotheriopsis lintianus	cetacea	NA	NA	NA	cetotheriopsis	lintianus	2	NA
Hylobates concolor	NA	primates	NA	hominidae	hylobates	concolor	NA	1
Pelorovis oldowayensis	artiodactyla	artiodactyla	bovidae	bovidae	pelorovis	oldowayensis	22	12
Stegolophodon latidens	NA	proboscidea	NA	elephantidae	stegolophodon	latidens	NA	2
Platychoerops richardsoni	primates	NA	plesiadapidae	NA	platychoerops	richardsoni	3	NA
Diamantomys morotoensis	NA	rodentia	NA	diamantomyidae	diamantomys	morotoensis	NA	1
Microcavia australis	rodentia	NA	caviidae	NA	microcavia	australis	3	NA
Tomarctus hippophaga	carnivora	NA	canidae	NA	tomarctus	hippophaga	35	NA
Equus altidens	NA	perissodactyla	NA	equidae	equus	altidens	NA	25
Pollyosbornia altidens	perissodactyla	NA	brontotheriidae	NA	pollyosbornia	altidens	2	NA
Chilecebus carrascoensis	primates	NA	NA	NA	chilecebus	carrascoensis	1	NA
Matanomictis maniyarensis	carnivora	carnivora	mustelidae	mustelidae	matanomictis	maniyarensis	1	1
Cokia kowalskae	NA	eulipotyphla	soricidae	soricidae	cokia	kowalskae	2	1
Gaindatherium browni	NA	perissodactyla	NA	rhinocerotidae	gaindatherium	browni	NA	3
Cervus triplidens	NA	artiodactyla	NA	cervidae	cervus	triplidens	NA	1
Equus eisenmannae	NA	perissodactyla	NA	equidae	equus	eisenmannae	NA	1
Eionaletherium tanycnemius	xenarthra	NA	NA	NA	eionaletherium	tanycnemius	1	NA
Spanocricetodon janvieri	rodentia	rodentia	cricetidae	muridae	spanocricetodon	janvieri	1	1
Luanthus initialis	rodentia	NA	eocardiidae	NA	luanthus	initialis	1	NA
Castromys NA	NA	rodentia	NA	muridae	castromys	NA	NA	3
Hipparion houfenense	NA	perissodactyla	NA	equidae	hipparion	houfenense	NA	19
Sorex araneus	NA	eulipotyphla	soricidae	soricidae	sorex	araneus	14	4
Microscleromys cribriphilus	rodentia	NA	dasyproctidae	NA	microscleromys	cribriphilus	1	NA
Meketibolodon robustus	multituberculata	NA	paulchoffatiidae	NA	meketibolodon	robustus	1	NA
Sorex pseudoalpinus	NA	eulipotyphla	soricidae	soricidae	sorex	pseudoalpinus	4	4
Caviocricetus lucasi	rodentia	NA	NA	NA	caviocricetus	lucasi	5	NA
Kunmunella rajauriensis	artiodactyla	NA	raoellidae	NA	kunmunella	rajauriensis	1	NA
Plesiaceratherium NA	NA	perissodactyla	NA	rhinocerotidae	plesiaceratherium	NA	NA	8
Valenictus chulavistensis	carnivora	NA	odobenidae	NA	valenictus	chulavistensis	1	NA
Khoratpithecus piriyai	primates	NA	hominidae	NA	khoratpithecus	piriyai	1	NA
Apodemus mystacinus	NA	rodentia	NA	muridae	apodemus	mystacinus	NA	14
Nosella europaea	proteutheria	NA	NA	NA	nosella	europaea	1	NA
Lophiodolodus chaparralensis	NA	NA	NA	NA	lophiodolodus	chaparralensis	1	NA
Teruelia NA	NA	artiodactyla	NA	giraffoidea	teruelia	NA	NA	4
Anthracotherium chaimanei	artiodactyla	NA	anthracotheriidae	NA	anthracotherium	chaimanei	1	NA
Neovulpavus washakius	carnivora	NA	canidae	NA	neovulpavus	washakius	1	NA
Kohatius NA	NA	primates	NA	omomyidae	kohatius	NA	NA	1
Pseudoblastomeryx advena	artiodactyla	NA	moschidae	NA	pseudoblastomeryx	advena	22	NA
Dendromus denysae	NA	rodentia	NA	muridae	dendromus	denysae	NA	1
Micronycteris NA	NA	chiroptera	NA	phyllostomidae	micronycteris	NA	NA	1
Adjidaumo craigi	rodentia	NA	eomyidae	NA	adjidaumo	craigi	2	NA
Machairodus aphanistus	NA	carnivora	NA	felidae	machairodus	aphanistus	NA	26
Equus achenheimensis	NA	perissodactyla	NA	equidae	equus	achenheimensis	NA	1
Cervus australis	NA	artiodactyla	NA	cervidae	cervus	australis	NA	5
Kenisamys NA	NA	rodentia	NA	muridae	kenisamys	NA	NA	1
Calomyscus minor	rodentia	rodentia	calomyscidae	muridae	calomyscus	minor	2	3
Ochotona pallasi	NA	lagomorpha	NA	ochotonidae	ochotona	pallasi	NA	1
Prodiacodon crustulum	NA	NA	leptictidae	NA	prodiacodon	crustulum	4	NA
Lycopsis torresi	sparassodonta	NA	NA	NA	lycopsis	torresi	5	NA
Parasorex ibericus	lipotyphla	eulipotyphla	erinaceidae	erinaceidae	parasorex	ibericus	2	32
Turgidodon russelli	didelphimorphia	NA	alphadontidae	NA	turgidodon	russelli	25	NA
Anatolomys NA	NA	rodentia	NA	muridae	anatolomys	NA	NA	1
Sivameryx moneyi	NA	artiodactyla	NA	anthracotheriidae	sivameryx	moneyi	NA	2
Saiga tatarica	artiodactyla	artiodactyla	bovidae	bovidae	saiga	tatarica	3	25
Globicephala uncidens	cetacea	NA	delphinidae	NA	globicephala	uncidens	3	NA
Phoberomys bordasi	rodentia	NA	neoepiblemidae	NA	phoberomys	bordasi	4	NA
Donodon prescriptoris	dryolestida	NA	donodontidae	NA	donodon	prescriptoris	1	NA
Amphirhagatherium fronstettense	artiodactyla	NA	choeropotamidae	NA	amphirhagatherium	fronstettense	1	NA
Hemisorex NA	NA	eulipotyphla	NA	soricidae	hemisorex	NA	NA	1
Orientalomys sinensis	NA	rodentia	NA	muridae	orientalomys	sinensis	NA	1
Eucladoceros tegulensis	NA	artiodactyla	NA	cervidae	eucladoceros	tegulensis	NA	4
Tsaganocricetus turgaiensis	NA	rodentia	NA	muridae	tsaganocricetus	turgaiensis	NA	1
Anisonchus fortunatus	NA	NA	periptychidae	NA	anisonchus	fortunatus	1	NA
Issiodoromys minor	NA	rodentia	NA	theridomyidae	issiodoromys	minor	NA	1
Heteroxerus karsticus	NA	rodentia	NA	sciuridae	heteroxerus	karsticus	NA	1
Plesiaceratherium gracile	perissodactyla	perissodactyla	rhinocerotidae	rhinocerotidae	plesiaceratherium	gracile	3	2
Atlantoxerus giganteus	NA	rodentia	NA	sciuridae	atlantoxerus	giganteus	NA	1
Asfaltomylos patagonicus	NA	NA	henosferidae	NA	asfaltomylos	patagonicus	1	NA
Bothriogenys orientalis	artiodactyla	NA	anthracotheriidae	NA	bothriogenys	orientalis	1	NA
Lorancahyus daamsi	artiodactyla	artiodactyla	tayassuidae	palaeochoeridae	lorancahyus	daamsi	1	1
Kowalskia nestori	NA	rodentia	NA	muridae	kowalskia	nestori	NA	2
Capreolus caprea	NA	artiodactyla	NA	cervidae	capreolus	caprea	NA	2
Cebupithecia sarmientoi	primates	NA	pitheciidae	NA	cebupithecia	sarmientoi	3	NA
Ictidopappus mustelinus	carnivora	NA	NA	NA	ictidopappus	mustelinus	1	NA
Andinomys edax	rodentia	NA	cricetidae	NA	andinomys	edax	1	NA
